Year,Forecast,Lower_95,Upper_95
2025,37.658207170312515,37.14674577011313,38.1696685705119
2026,37.923359019284476,36.950852739614746,38.895865298954206
2027,37.86582530903696,35.8417465980293,39.88990402004461
2028,38.105142546412175,35.15861869115135,41.051666401673
2029,38.07137509627405,33.835900841674096,42.30684935087401
2030,38.28882883020651,32.82509282052252,43.7525648398905
2031,38.275174463935656,31.314010785936777,45.23633814193453
2032,38.47412539278426,30.0419067935064,46.90634399206212
2033,38.47749247375792,28.362248837197477,48.59273611031836
2034,38.660784713830154,26.86763291480277,50.45393651285754
