Model,MSE,RMSE,MSLE,MAE,MAPE,ACCURACY,MEDIAN AE,MAX ERROR,R2 SCORE,EVS
ARIMA,37054.195835401166,192.49466443359194,0.0026580106689134833,144.60976218206093,4.004912785748056,95.99508721425194,104.79517207093704,449.3165006742861,0.6781769198713509,0.8289680333870422
HoltLinear,68770.36238630254,262.24103871496266,0.004684050841993332,219.94240746314412,5.969283141829123,94.03071685817088,155.3419468631439,537.5094622574402,0.40271568858124496,0.8228592800787193
LinearReg(lags),232553.96566474152,482.23849459032357,0.013655966060751205,419.66717509602825,11.027433389314734,88.97256661068526,473.4122209906666,729.6425739728788,-1.019777567399176,0.5098644255770028
Naive,327850.2353244842,572.5820773692486,0.02442258283953479,461.2069289000001,11.716799617787107,88.2832003822129,383.5417395000002,1116.8530489999998,-1.8474446732487202,0.0
GradBoost(lags),327983.73541594885,572.6986427572086,0.02443400690298376,461.35163525973803,11.72072521673386,88.27927478326615,383.6864458597381,1116.9977553597378,-1.8486041481655002,0.0
RandomForest(lags),405741.3456121717,636.9782928893038,0.031229769299959124,539.0760072133216,13.829234567883002,86.170765432117,461.4108178133217,1194.7221273133214,-2.523944499038355,0.0
MovingAvg(3),467428.00456592534,683.6870662561383,0.03680831883013193,593.5398895666667,15.306732582411767,84.69326741758823,515.8747001666668,1249.1860096666665,-3.0597054335227556,0.0
KNN(lags),467428.00456592534,683.6870662561383,0.03680831883013193,593.5398895666667,15.306732582411767,84.69326741758823,515.8747001666668,1249.1860096666665,-3.0597054335227556,0.0
Mean,4660383.960869047,2158.7922458794055,0.7277886847460309,2131.958150811111,57.04099441407594,42.95900558592406,2054.292961411111,2787.6042709111107,-39.476364067685964,0.0
SVR(lags),4794159.994307449,2189.557031526571,0.7610834546053653,2159.783674322019,57.74639889203754,42.25360110796246,2091.915502657901,2838.3421389579335,-40.638235595536216,-0.1246853341222498
Poly2Reg(lags),5.021442383096354e+96,2.2408575106633517e+48,40.98358248171611,7.086213645591244e+47,1.6211254050079594e+46,-1.6211254050079594e+46,71711.66616173233,7.086213645591243e+48,-4.3612228466517935e+91,-3.9251005619866136e+91
